"","utterance","onglide","focus_type","speaker","onglide_norm","target_word","onglide_log"
"2","0018",2.49,"narrow","AT_97",1.33004622496148,"bohme",0.54282542695918
"3","0019",2.71,"contrastive","AT_97",1.44756034925526,"mahse",0.569373909615046
"5","0021",3.62,"contrastive","AT_97",1.93364149974319,"wahne",0.664641975556125
"7","0024",1.61,"narrow","AT_97",0.859989727786338,"wahwe",0.416640507338281
"8","0025",2.55,"contrastive","AT_97",1.36209553158706,"lahse",0.550228353055094
"9","0026",2.5,"narrow","AT_97",1.33538777606574,"wahne",0.544068044350276
"10","0027",1.12,"narrow","AT_97",0.598253723677453,"lohne",0.326335860928751
"11","0028",1.06,"broad","AT_97",0.566204417051875,"nohse",0.313867220369153
"12","0029",-0.51,"broad","AT_97",-0.579545454545455,"nahle",-0.178976947293169
"14","0031",0.74,"narrow","AT_97",0.39527478171546,"wohme",0.2405492482826
"15","0032",1.93,"contrastive","AT_97",1.03091936312275,"lohne",0.466867620354109
"16","0033",1.38,"narrow","AT_97",0.73713405238829,"nahle",0.376576957056512
"17","0035",1.83,"broad","AT_97",0.977503852080123,"mohme",0.45178643552429
"18","0036",1.53,"contrastive","AT_97",0.817257318952234,"lahle",0.403120521175818
"19","0037",NA,"broad","AT_97",NA,"mohwe",NA
"20","0038",1.64,"broad","AT_97",0.876014381099127,"lohle",0.421603926869831
"23","0041",1.49,"contrastive","AT_97",0.795891114535182,"bahwe",0.396199347095736
"24","0042",1.49,"contrastive","AT_97",0.795891114535182,"nahne",0.396199347095736
"26","0044",-0.62,"broad","AT_97",-0.704545454545455,"lohne",-0.209515014542631
"28","0046",1.26,"broad","AT_97",0.673035439137134,"wahwe",0.354108439147401
"30","0048",1.09,"narrow","AT_97",0.582229070364664,"bahwe",0.320146286111054
"32","0050",-1.45,"broad","AT_97",-1.64772727272727,"mahne",-0.389166084364532
"34","0052",-0.98,"broad","AT_97",-1.11363636363636,"nahne",-0.296665190261531
"35","0053",3.33,"contrastive","AT_97",1.77873651771957,"mohme",0.636487896353365
"36","0054",2.63,"broad","AT_97",1.40482794042116,"lahse",0.559906625036113
"38","0057",3.25,"contrastive","AT_97",1.73600410888546,"bohwe",0.628388930050311
"39","0058",3.64,"contrastive","AT_97",1.94432460195172,"lohle",0.666517980554881
"40","0060",1.5,"narrow","AT_97",0.801232665639445,"bohwe",0.397940008672038
"42","0062",2.84,"contrastive","AT_97",1.51700051361068,"nohse",0.584331224367531
"43","0063",1.84,"narrow","AT_97",0.982845403184386,"mohme",0.453318340047038
"44","0064",1.97,"contrastive","AT_97",1.0522855675398,"mahne",0.472756449317212
"45","0065",1.45,"contrastive","AT_97",0.77452491011813,"bahle",0.389166084364532
"46","0066",1.51,"narrow","AT_97",0.806574216743708,"lahse",0.399673721481038
"48","0068",1.25,"narrow","AT_97",0.667693888032871,"wohse",0.352182518111362
"49","0069",2.48,"narrow","AT_97",1.32470467385722,"lahle",0.541579243946581
"50","0070",1.21,"contrastive","AT_97",0.646327683615819,"nohme",0.344392273685111
"51","0071",0.99,"broad","AT_97",0.528813559322034,"wohme",0.298853076409707
"52","0072",1.93,"contrastive","AT_97",1.03091936312275,"bohme",0.466867620354109
"53","0073",1.89,"narrow","AT_97",1.0095531587057,"nohse",0.460897842756548
"54","0074",1.65,"contrastive","AT_97",0.88135593220339,"nahle",0.423245873936808
"55","0075",2.92,"contrastive","AT_97",1.55973292244479,"wohme",0.593286067020457
"56","0076",1.02,"broad","AT_97",0.544838212634823,"bohwe",0.305351369446624
"58","0078",1.02,"broad","AT_97",0.544838212634823,"wohse",0.305351369446624
"60","0080",2.04,"contrastive","AT_97",1.08967642526965,"mohwe",0.482873583608754
"61","0081",0.82,"broad","AT_97",0.438007190549563,"wahne",0.260071387985075
"62","0082",2.23,"narrow","AT_97",1.19116589625064,"nahne",0.509202522331103
"63","0083",2.43,"narrow","AT_97",1.2979969183359,"mahse",0.535294120042771
"64","0084",1.71,"broad","AT_97",0.913405238828968,"bohme",0.432969290874406
"65","0085",1.99,"narrow","AT_97",1.06296866974833,"nohme",0.47567118832443
"66","0090",4.2,"contrastive","AT_97",2.24345146379045,"wohse",0.716003343634799
"70","0095",-0.84,"narrow","AT_97",-0.954545454545454,"bahle",-0.264817823009536
"71","0098",0.17,"broad","AT_97",0.0908063687724705,"lahle",0.0681858617461616
"72","0099",1.11,"broad","AT_97",0.59291217257319,"nohme",0.324282455297693
"73","0100",0.92,"narrow","AT_97",0.491422701592193,"lohle",0.28330122870355
"75","0102",2,"broad","AT_97",1.06831022085259,"bahle",0.477121254719662
"76","0103",1.55,"contrastive","AT_97",0.82794042116076,"wahwe",0.406540180433955
"77","0104",2.15,"narrow","AT_97",1.14843348741654,"mohwe",0.4983105537896
"78","0105",1.67,"broad","AT_97",0.892039034411916,"bahwe",0.426511261364575
"210","0018",1.79,"contrastive","AW_97",0.890032377428307,"bahwe",0.445604203273598
"310","0019",0.42,"narrow","AW_97",0.208834412580944,"lohne",0.152288344383056
"410","0020",4.05,"contrastive","AW_97",2.01376040703053,"wohme",0.703291378118661
"510","0021",1.28,"narrow","AW_97",0.636447733580018,"mahne",0.357934847000454
"610","0022",1.08,"broad","AW_97",0.537002775208141,"lohne",0.318063334962762
"81","0025",-0.81,"broad","AW_97",-0.584573748308525,"mahse",-0.257678574869184
"91","0026",0.79,"narrow","AW_97",0.392807585568918,"bahwe",0.252853030979893
"101","0027",1.35,"broad","AW_97",0.671253469010176,"lahle",0.371067862271736
"131","0030",-1.27,"broad","AW_97",-0.916553901668922,"mohme",-0.356025857193123
"141","0031",1.49,"narrow","AW_97",0.74086493987049,"wahwe",0.396199347095736
"161","0033",1.19,"narrow","AW_97",0.591697502312673,"nohse",0.340444114840118
"171","0034",-1.56,"broad","AW_97",-1.12584573748309,"bahle",-0.40823996531185
"181","0035",0.47,"narrow","AW_97",0.233695652173913,"nohme",0.167317334748176
